batter,matches,runs,balls,SR,balls_Death,balls_Early_Middle,balls_Late_Middle,balls_PP,runs_Death,runs_Early_Middle,runs_Late_Middle,runs_PP,dots_Death,dots_Early_Middle,dots_Late_Middle,dots_PP,boundaries_Death,boundaries_Early_Middle,boundaries_Late_Middle,boundaries_PP,rotation_Death,rotation_Early_Middle,rotation_Late_Middle,rotation_PP,SR_Death,SR_Early_Middle,SR_Late_Middle,SR_PP,dot_pct_Death,dot_pct_Early_Middle,dot_pct_Late_Middle,dot_pct_PP,boundary_pct_Death,boundary_pct_Early_Middle,boundary_pct_Late_Middle,boundary_pct_PP,rotation_pct_Death,rotation_pct_Early_Middle,rotation_pct_Late_Middle,rotation_pct_PP,consistency,SR_z,Cons_z,Opener_Score,Anchor_Score,Middle_Score,Finisher_Score
A Sharafu,3,105,98,107.14285714285714,7.0,30.0,31.0,30.0,10.0,31.0,40.0,24.0,3.0,13.0,7.0,16.0,2.0,4.0,4.0,3.0,2.0,13.0,20.0,11.0,142.85714285714286,103.33333333333334,129.03225806451613,80.0,0.42857142857142855,0.43333333333333335,0.22580645161290322,0.5333333333333333,0.2857142857142857,0.13333333333333333,0.12903225806451613,0.1,0.2857142857142857,0.43333333333333335,0.6451612903225806,0.36666666666666664,0.02138309336599644,-1.481477919899319,-0.4616725620731751,-1.259033782288727,-0.8777675623637653,-0.2642243002650904,0.007344847675175015
AK Markram,3,173,87,198.85057471264366,7.0,20.0,15.0,45.0,15.0,34.0,16.0,108.0,0.0,2.0,5.0,13.0,1.0,4.0,2.0,22.0,5.0,14.0,8.0,10.0,214.28571428571428,170.0,106.66666666666667,240.0,0.0,0.1,0.3333333333333333,0.28888888888888886,0.14285714285714285,0.2,0.13333333333333333,0.4888888888888889,0.7142857142857143,0.7,0.5333333333333333,0.2222222222222222,0.025824097473845745,2.329799943108493,-0.2711651061089441,1.9666968730810255,1.0153664749577347,-0.4657195005218179,0.8595938651033923
BFW de Leede,4,158,113,139.8230088495575,11.0,35.0,31.0,36.0,23.0,43.0,50.0,42.0,4.0,6.0,7.0,17.0,4.0,4.0,6.0,5.0,3.0,25.0,18.0,14.0,209.0909090909091,122.85714285714286,161.29032258064515,116.66666666666667,0.36363636363636365,0.17142857142857143,0.22580645161290322,0.4722222222222222,0.36363636363636365,0.11428571428571428,0.1935483870967742,0.1388888888888889,0.2727272727272727,0.7142857142857143,0.5806451612903226,0.3888888888888889,0.07170964945367085,-0.12332462527934017,1.6972050104015601,0.048660717634301076,1.444480408429564,0.8165438446454427,0.7179905223929134
BJ Bennett,3,175,140,125.0,22.0,37.0,29.0,52.0,29.0,41.0,49.0,56.0,4.0,9.0,3.0,29.0,3.0,3.0,6.0,10.0,15.0,25.0,20.0,13.0,131.8181818181818,110.8108108108108,168.9655172413793,107.6923076923077,0.18181818181818182,0.24324324324324326,0.10344827586206896,0.5576923076923077,0.13636363636363635,0.08108108108108109,0.20689655172413793,0.19230769230769232,0.6818181818181818,0.6756756756756757,0.6896551724137931,0.25,0.08735303401218197,-0.7393535374425605,2.368265275724155,-0.11659712600240524,1.311452307010472,1.0965808965677035,-0.14785924526285982
BKG Mendis,4,181,145,124.82758620689656,18.0,50.0,41.0,36.0,31.0,56.0,43.0,51.0,2.0,16.0,8.0,18.0,3.0,5.0,1.0,10.0,13.0,29.0,32.0,8.0,172.22222222222223,112.00000000000001,104.8780487804878,141.66666666666669,0.1111111111111111,0.32,0.1951219512195122,0.5,0.16666666666666666,0.1,0.024390243902439025,0.2777777777777778,0.7222222222222222,0.58,0.7804878048780488,0.2222222222222222,0.029973816324002117,-0.74651887630766,-0.09315302552725013,-0.17695575778580633,0.038931725709028794,-0.9181711281736137,0.08939512926190465
DS Airee,4,169,117,144.44444444444443,28.0,30.0,46.0,13.0,74.0,34.0,54.0,7.0,2.0,11.0,13.0,7.0,11.0,5.0,4.0,0.0,15.0,14.0,29.0,6.0,264.2857142857143,113.33333333333333,117.3913043478261,53.84615384615385,0.07142857142857142,0.36666666666666664,0.2826086956521739,0.5384615384615384,0.39285714285714285,0.16666666666666666,0.08695652173913043,0.0,0.5357142857142857,0.4666666666666667,0.6304347826086957,0.46153846153846156,0.01866162564229349,0.06873745678813148,-0.578416406469774,-1.1514735024855383,-0.6105620751934625,-0.6024091549056559,1.0618902662194138
HG Munsey,4,134,104,128.84615384615387,0.0,27.0,14.0,63.0,0.0,34.0,21.0,79.0,0.0,11.0,6.0,31.0,0.0,5.0,3.0,15.0,0.0,11.0,5.0,17.0,0.0,125.92592592592592,150.0,125.39682539682539,0.0,0.4074074074074074,0.42857142857142855,0.49206349206349204,0.0,0.18518518518518517,0.21428571428571427,0.23809523809523808,0.0,0.4074074074074074,0.35714285714285715,0.2698412698412698,0.025128217443536525,-0.5795113627595654,-0.30101653858030986,-0.37629842363421506,-0.8383635166034478,0.3756066634206426,-0.9579850358586501
Ishan Kishan,4,176,87,202.29885057471267,0.0,19.0,0.0,68.0,0.0,46.0,0.0,130.0,0.0,4.0,0.0,25.0,0.0,8.0,0.0,22.0,0.0,7.0,0.0,21.0,0.0,242.10526315789474,0.0,191.1764705882353,0.0,0.21052631578947367,0.0,0.36764705882352944,0.0,0.42105263157894735,0.0,0.3235294117647059,0.0,0.3684210526315789,0.0,0.3088235294117647,0.01577831780566674,2.4731067204104895,-0.7021027682424732,1.2997057788530486,-0.5125584328885278,-2.354671567621209,-0.34746141922463913
J Mosca,4,105,84,125.0,0.0,23.0,18.0,43.0,0.0,19.0,21.0,65.0,0.0,8.0,6.0,21.0,0.0,1.0,2.0,12.0,0.0,14.0,10.0,10.0,0.0,82.6086956521739,116.66666666666667,151.1627906976744,0.0,0.34782608695652173,0.3333333333333333,0.4883720930232558,0.0,0.043478260869565216,0.1111111111111111,0.27906976744186046,0.0,0.6086956521739131,0.5555555555555556,0.23255813953488372,0.014817038096161797,-0.7393535374425605,-0.7433391525106492,-0.18351580829324057,-0.1438622292319074,-0.5401198583028332,-0.9899534707952491
JG Bethell,4,143,106,134.9056603773585,0.0,33.0,13.0,60.0,0.0,27.0,20.0,96.0,0.0,13.0,6.0,22.0,0.0,1.0,3.0,15.0,0.0,19.0,4.0,23.0,0.0,81.81818181818183,153.84615384615387,160.0,0.0,0.3939393939393939,0.46153846153846156,0.36666666666666664,0.0,0.030303030303030304,0.23076923076923078,0.25,0.0,0.5757575757575758,0.3076923076923077,0.38333333333333336,0.04476880144862642,-0.32768454038164174,0.5415131239904071,0.309864271416574,0.0004433468497538062,0.6592109220046506,-0.9076196713830654
